"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13854","Menambahkan Karyawan Baru dengan Data Valid","chromium","2025-12-30","passed","2025-12-30","Karyawan Menu Tests","","",""
"","11547","Login dengan password kosong","chromium","2025-12-30","passed","2025-12-30","Login Tests","","",""
"","11968","Login gagal dengan email tidak terdaftar","chromium","2025-12-30","passed","2025-12-30","Login Tests","","",""
"","26674","Filter Karyawan Berdasarkan Departemen","chromium","2025-12-30","passed","2025-12-30","Karyawan Menu Tests","","",""
"","2","Pagination Halaman Karyawan","chromium","2025-12-30","skipped","2025-12-30","Karyawan Menu Tests","","",""
"","5947","Menampilkan Halaman Karyawan (Tabel)","chromium","2025-12-30","passed","2025-12-30","Karyawan Menu Tests","","",""
"","22966","Mencari Karyawan Berdasarkan Nama","chromium","2025-12-30","passed","2025-12-30","Karyawan Menu Tests","","",""
"","15674","Login berhasil dengan kredensial valid","chromium","2025-12-30","passed","2025-12-30","Login Tests","","",""
"","13208","Export Data Karyawan","chromium","2025-12-30","passed","2025-12-30","Karyawan Menu Tests","","",""
"","16387","Filter Karyawan Berdasarkan Status","chromium","2025-12-30","passed","2025-12-30","Karyawan Menu Tests","","",""
"","10028","Import Data Karyawan","chromium","2025-12-30","passed","2025-12-30","Karyawan Menu Tests","","",""
"","13130","Login dengan Remember Me aktif","chromium","2025-12-30","passed","2025-12-30","Login Tests","","",""
